日付,発車時刻,到着時刻,乗車駅,降車駅,乗車駅番号,降車駅番号,会社,路線名,種別,列車名,列車番号,号車,前から両目,両数,編成番号（全）,編成番号（乗）,車両番号,距離（km）,その他詳細
2026/6/10,10:11,10:46,大垣,米原,,,,,,,215F,3,,4,C121,C121,モハ315-3021,35.9,
2026/6/10,11:01,11:34,米原,近江塩津,,,,,新快速,,3232M,2,,4,V6,V6,モハ222-3019,31.4,
2026/6/10,12:01,12:15,近江塩津,敦賀,,,,,新快速,,3138M,2,,4,V33,V33,モハ223-2148,14.5,
2026/6/10,12:20,13:13,敦賀,福井,,,,,,,1245M,2,,2,HF10,HF10,クモハ521-46,54.0,
2026/6/10,14:20,15:46,福井,金沢,,,,,,,1339M,,,2,IR20,IR20,クモハ521-43,76.7,
2026/6/14,8:01,8:58,金沢,富山,,,,,,,431M,,,?,AK20,AK20,クモハ521-1004,59.4,
2026/6/14,9:30,11:28,電鉄富山,宇奈月温泉,,,,,,,115,,,,,,,53.3,
2026/6/14,11:48,12:34,宇奈月,猫又,,,,,,,33,,,,,,,,能登半島地震で猫又止まり　距離は記載なし
2026/6/14,12:57,13:46,猫又,宇奈月,,,,,,,34,,,,,,,,
2026/6/14,15:45,17:06,宇奈月温泉,寺田,,,,,,,144,,,,,,,43.5,
2026/6/14,17:10,18:08,寺田,立山,,,,,,,331,,,,,,,24.2,
2026/6/14,18:13,18:40,立山,岩峅寺,,,,,,,340,,,,,,,14.0,
2026/6/14,18:43,19:18,岩峅寺,電鉄富山,,,,,,,638,,,,,,,17.3,
2026/6/14,19:54,20:50,富山,金沢,,,,,,,582M,,,,,,,59.4,
2026/6/15,15:58,16:38,金沢,高岡,,,,,,,453M,,,,,,,40.6,
2026/6/15,16:45,17:34,高岡駅,越ノ潟,,,,,,,,,,,,,,12.9,
2026/6/15,18:07,18:51,越ノ潟,末広町,,,,,,,,,,,,,,12.4,
2026/6/15,19:44,20:14,高岡,金沢,,,,,ライナー,あいの風ライナー,1580M,,,,,,,40.6,
2026/6/17,15:05,16:09,金沢,富山,,,,,,,449M,,,,,,,59.4,
2026/6/17,16:47,17:45,富山,金沢,,,,,,,442M,,,,,,,59.4,
2026/6/22,16:43,16:55,金沢,津幡,,,,,,,455M,4,1,4,AK04+AK16,AK04,クモハ521-9,11.5,
2026/6/22,18:58,19:25,津幡,高岡,,,,,,,467M,,,4,IR10+IR18,IR10?,クモハ521-20?,29.1,
2026/6/22,20:51,21:31,高岡,金沢,,,,,,,452M,1,1,4,IR18+IR10,IR18,クハ520-41,40.6,
2026/7/3,,,西金沢,福井,,,,,,,1336M,1,,2,IR14,IR14,,,
2026/7/3,,,福井,しきぶ,,,,,,,1242M,2?,,2,HF14,HF14,,,
2026/7/3,,,しきぶ,福井,,,,,,,1251M,1,,2,HF06,HF06,,,
2026/7/3,,,福井,金沢,,,,,,,1341M,2?,,2,HF09,HF09,,,
2026/7/3,,,金沢,小杉,,,,,,,455M,3,,4,AK20+AK03,AK20,,,
2026/7/3,,,小杉,金沢,,,,,,,450M,3,,4,AK16+AK08,AK08,,,所定AK03のみ？
2026/7/4,,,金沢,富山,,,,,,,451M,2,,4,AK06+AK02,,,,
2026/7/4,,,富山駅,岩瀬浜,,,,,,,5091,B,2,2,TLR0606,TLR0606,0606B,,
2026/7/4,,,岩瀬浜,グランドプラザ前,,,,,,,6096,A,1,2,TLR0601,TLR0601,0601A,,
2026/7/4,,,グランドプラザ前,富山駅,,,,,,,6105,A,1,2,TLR0601,TLR0601,0601A,,
2026/7/4,,,富山,高岡,,,,,,,452M,3,,4,AK11+AK13,AK13,クハ520-23,,
2026/7/4,,,高岡,金沢,,,,,,,582M,3,,4,AK01+AK21,AK21,クハ520-1005,,
2026/7/5,,,金沢,森本,,,,,,,852M,4,,4,U15+U13,U15,クモハ521-115,,
2026/7/11,,,松任,金沢,,,,,,,673M,4,,4,IR13+IR12,IR13,クモハ521-28,,
2026/7/12,,,金沢,大聖寺,,,,,快速,,1052M,,,2,IR09,IR09,,,
2026/7/12,,,大聖寺,福井,,,,,,,352M,2,,4,IR12+IR13,IR12,クモハ521-26,,
2026/7/12,,,福井,金沢,,,,,,,353M,3,,4,IR01+IR19,IR01,,,メモは2だがおそらく3号車
2026/7/13,,,金沢,富山,,,,,,,463M,3,,4,AK04+AK05,AK04,,,
2026/7/13,,,富山,高岡,,,,,,,578M,2,,2,AK06,AK06,,,
2026/7/13,,,高岡,金沢,,,,,,,454M,1,,2,IR17,IR17,,,到着後つないで回送？
ryaku,,,,,,,,,,,,,,,,,,,
2026/8/7,7:58,9:19,金沢,福井,,,,,,,326M,4,,4,IR02+IR21,IR21,クモハ521-52,76.7,
2026/8/7,9:35,10:28,福井,敦賀,,,,,,,1228M,2,,2,HF13,HF13,クモハ521-49,54.0,
2026/8/7,11:18,13:16,敦賀,東舞鶴,,,,,,,932M,,2,2,F2+F16,F16,クモハ125-16,91.2,
2026/8/7,13:23,14:11,東舞鶴,福知山,,,,,,,336M,,1,2,F3+F17,F3,クモハ125-3,31.8,
2026/8/7,15:10,16:19,福知山,豊岡,,,,,,,431M,,2?,2,S9,S9,クモハ112-5309,59.9,
2026/8/7,17:29,18:36,豊岡,浜坂,,,,,,,175D,,2,2,2+1093,1093,キハ47 1093,49.5,
2026/8/7,19:07,20:02,浜坂,鳥取,,,,,,,539D,,2,2,35+7,7,キハ47 7,32.4,
2026/8/7,20:20,22:37,鳥取,米子,,,,,,,259D,,2,2,2009?+1026,1026,キハ47 1026,92.7,
2026/8/8,7:30,8:17,米子,境港,,,,,,,1633K,,1,2,2004+2019,2004,キハ47 2004,17.9,
2026/8/8,8:28,8:38,境港,高松町,,,,,,,1636K,,1,2,2019+2004,2019,キハ47 2019,3.6,
2026/8/8,10:37,11:11,高松町,米子,,,,,,,1638K,,2,2,2019+2004,2004,キハ47 2004,14.3,2004がICリーダー故障？
2026/8/8,11:33,13:05,米子,出雲市,,,,,,,283M,2,,2,H6,H6,クモハ227-582,61.6,
2026/8/8,14:24,16:26,出雲市,浜田,,,,,,,331D,,1,1,206,206,キハ120-206,88.7,
2026/8/8,16:37,17:27,浜田,益田,,,,,,,433D,,1,1,321,321,キハ120-321,41.2,
2026/8/8,17:49,19:42,益田,長門市,,,,,,,1573D,,2,2,2051+16,16,キハ47 16,85.1,
2026/8/8,19:48,21:57,長門市,下関,,,,,,,833D,,2,2,93+100,100,キハ47 100,77.7,急停車、線路と車両の確認　動物とぶつかった？
2026/8/8,22:02,22:15,下関,小倉,,,,,,,5237M,,3,4,Fo1517,Fo1517,モハ415-1517,11.8,
2026/8/8,22:24,22:42,小倉,八幡,,,,,,,2237M,,3,8,P1+P2107?,P1,モハ811-1,11.2,
2026/8/9,6:26,7:13,八幡,博多,,,,,特急,ソニック202号,3082M,5,,7,AO-5?,AO-5?,,56.0,人身事故によるダイヤ乱れで乗れると放送で18きっぷなのに乗車するやらかし（ちゃんと払った）
2026/8/9,8:42,9:18,博多,鳥栖,,,,,快速,,4223M,,7,9,V3006+R2112+R106,R106,クモハ813-106,28.6,ダイヤ乱れ　所定8両？
2026/8/9,10:33,11:12,鳥栖,荒尾,,,,,快速,,1323M,,2,2,N007,N007,クモハ815-7,44.8,
2026/8/9,11:37,12:17,荒尾,久留米,,,,,,,338M,,1,2,N007,N007,クモハ815-7,37.7,
2026/8/9,13:13,14:21,久留米,日田,,,,,,,1847D,,1?,2,1502,1502,キハ220-1502,47.6,
2026/8/9,14:39,17:05,日田,大分,,,,,,,1849D,,2,2,105,105,キハ200-1105,93.9,
2026/8/9,17:48,19:12,大分,佐伯,,,,,,,4655M,,1,3,R3406,R3406,クモハ813-3406,64.9,
